timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732124502378,6950,HomePage,200,OK,Thread Group 1-41,text,true,,126645,123,50,50,https://www.sathyabama.ac.in/,6911,0,77
1732124503655,5711,360view,200,OK,Thread Group 1-17,text,true,,82584,130,50,50,https://www.sathyabama.ac.in/360view,5694,0,0
1732124503612,5817,360view,200,OK,Thread Group 1-15,text,true,,82585,130,50,50,https://www.sathyabama.ac.in/360view,5778,0,0
1732124502583,6945,HomePage,200,OK,Thread Group 1-43,text,true,,126653,123,50,50,https://www.sathyabama.ac.in/,6911,0,86
1732124503611,6031,360view,200,OK,Thread Group 1-16,text,true,,82584,130,50,50,https://www.sathyabama.ac.in/360view,6005,0,0
1732124504038,5608,360view,200,OK,Thread Group 1-14,text,true,,82582,130,50,50,https://www.sathyabama.ac.in/360view,5592,0,0
1732124502678,7015,HomePage,200,OK,Thread Group 1-44,text,true,,126647,123,50,50,https://www.sathyabama.ac.in/,6976,0,109
1732124502878,7030,HomePage,200,OK,Thread Group 1-46,text,true,,126649,123,50,50,https://www.sathyabama.ac.in/,6990,0,90
1732124503079,6916,HomePage,200,OK,Thread Group 1-48,text,true,,126649,123,50,50,https://www.sathyabama.ac.in/,6876,0,84
1732124502981,7454,HomePage,200,OK,Thread Group 1-47,text,true,,126641,123,50,50,https://www.sathyabama.ac.in/,7405,0,110
1732124503279,7161,HomePage,200,OK,Thread Group 1-50,text,true,,126653,123,50,50,https://www.sathyabama.ac.in/,7113,0,90
1732124502778,7739,HomePage,200,OK,Thread Group 1-45,text,true,,126653,123,50,50,https://www.sathyabama.ac.in/,7680,0,84
1732124504749,6019,ourCampus,200,OK,Thread Group 1-5,text,true,,85692,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6005,0,0
1732124504595,6195,ourCampus,200,OK,Thread Group 1-6,text,true,,85693,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6175,0,0
1732124503178,7650,HomePage,200,OK,Thread Group 1-49,text,true,,126645,123,50,50,https://www.sathyabama.ac.in/,7612,0,341
1732124504425,6480,ourCampus,200,OK,Thread Group 1-3,text,true,,85698,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6467,0,0
1732124504598,6462,overview,200,OK,Thread Group 1-11,text,true,,84434,134,50,50,https://www.sathyabama.ac.in/campus-life,6450,0,0
1732124504597,6562,overview,200,OK,Thread Group 1-13,text,true,,84431,134,50,50,https://www.sathyabama.ac.in/campus-life,6552,0,0
1732124504791,6494,overview,200,OK,Thread Group 1-12,text,true,,84436,134,50,50,https://www.sathyabama.ac.in/campus-life,6470,0,0
1732124505058,6230,ourCampus,200,OK,Thread Group 1-1,text,true,,85688,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6218,0,0
1732124505101,6209,ourCampus,200,OK,Thread Group 1-4,text,true,,85687,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6194,0,0
1732124505197,6412,360view,200,OK,Thread Group 1-18,text,true,,82581,130,50,50,https://www.sathyabama.ac.in/360view,6400,0,0
1732124505355,6501,360view,200,OK,Thread Group 1-20,text,true,,82587,130,50,50,https://www.sathyabama.ac.in/360view,6486,0,0
1732124505627,6853,360view,200,OK,Thread Group 1-24,text,true,,82585,130,50,50,https://www.sathyabama.ac.in/360view,6839,0,0
1732124506087,6420,overview,200,OK,Thread Group 1-7,text,true,,84435,134,50,50,https://www.sathyabama.ac.in/campus-life,6403,0,0
1732124506153,6356,360view,200,OK,Thread Group 1-23,text,true,,82587,130,50,50,https://www.sathyabama.ac.in/360view,6328,0,0
1732124506193,6357,ourCampus,200,OK,Thread Group 1-2,text,true,,85695,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6332,0,0
1732124506224,6334,360view,200,OK,Thread Group 1-19,text,true,,82597,130,50,50,https://www.sathyabama.ac.in/360view,6315,0,0
1732124506587,6209,360view,200,OK,Thread Group 1-26,text,true,,82591,130,50,50,https://www.sathyabama.ac.in/360view,6198,0,0
1732124506240,6581,360view,200,OK,Thread Group 1-22,text,true,,82593,130,50,50,https://www.sathyabama.ac.in/360view,6559,0,0
1732124506237,6589,360view,200,OK,Thread Group 1-25,text,true,,82575,130,50,50,https://www.sathyabama.ac.in/360view,6573,0,0
1732124506610,6401,ourCampus,200,OK,Thread Group 1-8,text,true,,85685,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6382,0,0
1732124506650,6411,360view,200,OK,Thread Group 1-27,text,true,,82579,130,50,50,https://www.sathyabama.ac.in/360view,6395,0,0
1732124506739,6698,360view,200,OK,Thread Group 1-28,text,true,,82592,130,50,50,https://www.sathyabama.ac.in/360view,6685,0,0
1732124506925,6618,ourCampus,200,OK,Thread Group 1-10,text,true,,85696,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6602,0,0
1732124507199,6445,ourCampus,200,OK,Thread Group 1-9,text,true,,85700,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6427,0,0
1732124507093,6579,overview,200,OK,Thread Group 1-21,text,true,,84432,134,50,50,https://www.sathyabama.ac.in/campus-life,6569,0,0
1732124507402,6349,360view,200,OK,Thread Group 1-29,text,true,,82591,130,50,50,https://www.sathyabama.ac.in/360view,6329,0,0
1732124507512,6407,360view,200,OK,Thread Group 1-30,text,true,,82587,130,50,50,https://www.sathyabama.ac.in/360view,6394,0,0
1732124507683,6325,360view,200,OK,Thread Group 1-31,text,true,,82585,130,50,50,https://www.sathyabama.ac.in/360view,6303,0,0
1732124507778,6293,360view,200,OK,Thread Group 1-36,text,true,,82600,130,50,50,https://www.sathyabama.ac.in/360view,6263,0,0
1732124507921,6312,360view,200,OK,Thread Group 1-34,text,true,,82592,130,50,50,https://www.sathyabama.ac.in/360view,6279,0,0
1732124507917,6346,360view,200,OK,Thread Group 1-32,text,true,,82587,130,50,50,https://www.sathyabama.ac.in/360view,6329,0,0
1732124507930,6383,360view,200,OK,Thread Group 1-37,text,true,,82583,130,50,50,https://www.sathyabama.ac.in/360view,6361,0,0
